SI_NAME,SGG_NAME,SGG_CODE,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월
서울,종로구,11110,501646,501646,501646,501646,501646,501280,501280,501646,501329,500024,499829,499805,499805,499805,499439,499329,499000,497707,496585,495378,495207,495817,496061,496195,479337,479360,479360,478686,478477,478233,478116,477988,479093,478674,478453,481791,481884,481872,482860,485116,486174,486744,500407,501140,501791,502570,503733,504151,504337,504372,504535,504616,505291,506163,507384,508488,509012,510047,511500,512419,513023,513302,514302,515605,516640,518721,521244,524012,524488,525872,527942,597750,602125,607646,611500,615833,619167,622708,626417,631021,637167,642313,643875,644083,710411,709786,709661,709554,709214,709250,709250,709679,711357,713732,715696,720375,1022319,1023083,1023917,1023250,1021861,1022514,1029542,1033625,1036486,1036681,1037986
서울,중구,11140,545130,545030,540348,539800,536320,524800,519200,513900,506800,503260,499100,495320,493920,494200,491900,492000,494140,495320,490360,485860,485120,486040,486240,487300,502759,502259,503185,503278,503778,503704,504241,504481,504833,505852,507796,508556,509648,511296,513815,516407,517519,519370,535556,536944,538519,541241,542463,544444,545037,545296,545352,545648,546463,547278,548093,549500,550778,551852,553481,553907,554130,554278,554815,555815,556815,559889,562278,565481,566111,567259,569852,619150,623017,631950,640967,646217,651383,655550,661633,670733,682467,688617,691400,692683,775667,773200,771283,769767,768983,768583,768833,770233,771567,776133,780283,783633,795743,796557,797357,796986,796157,796086,802257,806143,807771,808743,809900
서울,용산구,11170,852152,851318,846970,845758,845439,843879,841500,835667,829803,821242,812455,809970,807000,805182,802303,791091,787545,785000,781576,775833,772379,768621,766955,765000,761439,757818,754864,753258,750879,749530,748667,748152,748606,750364,750879,750121,750030,750652,751939,752955,754136,754879,784439,785485,787015,788864,790530,790985,791288,791682,791985,793182,794076,796015,798955,801682,804015,808227,811303,812667,813773,814136,816303,819015,822379,828576,833212,838439,838864,839682,840955,1065833,1080385,1107821,1122308,1126141,1129295,1132756,1138654,1157410,1172949,1177103,1176615,1173987,1378500,1374816,1371224,1367276,1365632,1363789,1364605,1366066,1368579,1374658,1383368,1392408,1389939,1392207,1393524,1392439,1389780,1389963,1399354,1406439,1411232,1412659,1413768
서울,성동구,11200,475333,474372,471654,470551,469096,466949,464603,460449,457167,452821,447282,442231,439910,437679,435372,432756,436141,437218,435987,435026,434000,436603,437385,438128,447987,451410,454603,455808,455628,455679,455013,454910,455346,456115,456269,456500,456859,459051,461846,466397,468962,472013,475731,480141,483500,487987,491474,492910,492987,493295,493487,493923,494385,494923,495128,496244,497641,500218,502526,503321,503218,503038,503167,504346,507500,512744,516962,518897,517038,517641,521192,668542,680771,696188,704458,705333,704094,705063,708469,714073,726677,728958,729604,728615,881926,880096,876809,872383,866149,863011,863255,864926,867574,873383,879979,887713,899118,900431,901725,901549,900892,902245,910716,916402,918667,920020,921108
서울,광진구,11215,666091,666091,664576,662879,660758,657576,655909,654318,651439,647530,641061,636970,630606,626591,621379,620773,613485,609591,606106,602030,601015,601515,601773,600697,600879,602576,604273,603515,603697,603152,602106,601288,602409,604227,606015,607439,608515,610288,612424,615758,619424,621879,630788,636091,641409,645788,651091,654848,654955,655182,654924,654879,654636,655076,655818,656742,658848,662742,666576,668318,668409,668379,668379,668773,672091,677152,681318,685045,685682,688758,692727,751487,765921,778895,788026,791842,794197,793447,793132,794039,803842,806118,807961,806987,902974,900342,898237,896553,896079,895737,896184,897658,899434,906013,910118,916039,1014402,1014671,1014598,1013671,1012195,1013329,1021037,1025866,1029256,1030878,1032220
서울,동대문구,11230,377115,376987,376359,373962,371833,370846,370795,369731,368538,365859,362910,359846,356423,354590,353679,351667,352308,351782,349949,348474,347718,349321,349936,350346,349817,351720,352878,353293,353146,352646,352268,352256,352902,353622,354280,354305,354500,355402,357622,359585,361500,364183,371049,374024,378963,384256,387427,389732,389744,389927,390098,390634,390976,391622,392305,393220,394049,396280,397841,398341,398415,398354,398476,399720,401610,404049,405317,406463,407024,407439,408244,446050,447890,450530,452840,455030,456880,459840,463030,468770,476320,480480,481590,480280,593904,592319,588819,586734,585628,584479,584181,585085,586223,589319,592564,596926,652774,654802,656208,656472,655708,657179,665679,669858,673406,674415,675151
서울,중랑구,11260,318378,318784,319730,316689,313919,310743,309243,308743,307986,307176,304176,301622,300176,297500,296878,296714,298608,298068,297081,296797,297595,298851,299095,298081,296329,296474,297395,298474,297789,297303,296895,296579,296816,296921,297211,297355,297434,297737,298132,298579,299263,300013,302882,303921,305211,307513,310539,312184,312566,312842,312816,312882,313132,313303,313447,313882,313325,314025,314863,315125,315100,315075,315150,315525,316425,317288,318113,318988,319063,319388,319938,352375,353115,354219,355302,355781,356958,358656,360531,362083,366052,368031,368521,368500,444432,443932,443193,442682,442545,442318,442080,442398,442989,444489,446216,447364,451372,452181,453085,453660,453798,454000,458202,461213,463415,464234,465032
서울,성북구,11290,376894,375723,375298,375096,374862,374085,372872,371798,371096,370489,369745,369745,369468,367521,365394,363223,361638,359585,357947,356713,356309,356660,357128,357713,362592,362776,364031,364163,363735,363153,362724,363092,363694,364224,364561,364857,365092,365561,366061,366990,368520,370153,384367,386051,388122,390806,393939,395500,395602,395602,395602,395612,396204,397173,398367,400061,401898,403857,405378,406714,407439,407439,407398,407255,407357,408439,409480,411531,412469,413684,414724,445000,447027,452582,459909,463073,466691,469409,471745,475355,482518,485500,486845,486691,558217,557349,556443,554915,554453,553868,553717,554217,555113,557019,559651,562491,589518,590634,592536,592268,591607,591839,597393,601402,603741,604429,605696
서울,강북구,11305,344750,344583,343400,339750,339367,338600,337858,337450,336133,334617,330567,326217,323917,323150,321933,321017,321433,320583,319050,318017,317133,318067,318283,318283,318317,318583,319050,319233,319050,318783,318717,318733,319300,320267,320800,321100,321167,321933,323000,324300,325133,326433,334683,335917,339800,342600,344967,346250,346317,346317,346350,346417,346650,346950,347417,348683,344125,344953,346172,346422,346422,346359,346359,346297,346844,347969,348969,350141,350547,351172,351797,383500,385643,387071,389143,390486,392986,396257,400214,404886,412929,417014,418629,418743,478758,478576,478030,478076,477727,477545,478667,479545,480848,482591,484242,485515,495000,496847,498750,500042,499917,500583,508569,512236,513611,514361,514944
서울,도봉구,11320,319740,319438,318854,318250,316375,313971,311156,307969,306375,300865,297250,294219,291208,286948,286115,286313,286177,285188,283219,281781,281552,282979,283125,284135,285635,286250,287333,287542,287083,286583,286854,286698,286979,287688,287990,288667,289167,289521,290333,290500,291458,292927,299021,300469,302594,304198,306573,307573,307792,308031,308063,308344,308573,308938,309385,309885,310531,311490,312875,313375,313396,312958,312927,313365,314333,316458,317948,318792,319302,319844,320792,349436,350782,351909,353036,353909,354755,355809,356991,359100,365191,368391,369300,369064,431198,429811,427830,427255,426519,426066,426387,426802,427491,429009,430670,432802,420883,422419,424285,425803,425829,426723,432455,435491,436295,436875,437402
서울,노원구,11350,287444,287106,285711,283338,280944,278549,275965,274514,273458,272866,271556,269986,268514,267768,267585,267676,267824,267810,266866,264225,263162,264599,264683,264845,266056,267437,269120,270042,270204,270049,269866,269690,270768,272211,272535,272627,272873,273824,275761,278732,280577,282514,293000,295056,297190,299239,300817,301606,301725,301810,301859,301986,302085,302394,302930,303697,304662,306289,308239,308718,308690,308718,308887,309324,310768,313648,316880,318401,317746,317972,318310,361606,362431,363675,364925,364975,365163,365706,366313,368413,374400,377194,378144,377669,445903,444779,443591,442091,441760,441604,441857,442292,443195,445448,447370,449487,467222,468846,470932,472685,472710,473617,480086,483210,484531,485395,486340
서울,은평구,11380,355486,354135,353041,352770,350473,349595,349324,348649,348392,347905,347635,346946,346473,345054,343986,341189,340243,338676,337730,337351,337243,337905,339203,339446,351538,351638,352000,351775,352063,352388,352088,352413,353300,353700,354288,354688,356125,356350,357350,358650,359213,360513,368950,370775,372125,373763,375525,376300,376600,376825,376863,377150,378238,379025,380363,381363,382725,384438,386188,386975,387513,388488,389388,390613,391800,394100,395538,396850,397200,397538,398450,437267,438344,440122,441544,442456,444189,446244,448389,454478,463311,467011,467200,467411,537430,536907,534256,533384,532919,532756,533233,533256,534337,536500,538756,542267,601337,602496,603490,603612,603653,603929,610286,613449,616367,617337,618031
서울,서대문구,11410,371135,369135,368206,368278,367049,366135,364492,363492,360849,357978,358583,358586,358329,357714,356643,357871,358229,357771,356914,354571,354286,356157,357300,358257,357814,358986,359743,361271,361000,360943,361114,361271,362271,362557,362671,362814,362929,363414,364543,365914,366600,367929,372943,373829,375414,377629,379129,380200,380743,381114,381271,381614,382400,383543,384571,386357,387743,389429,391286,392171,392700,393043,393786,394800,395914,397686,399143,400114,400714,401357,402343,485000,486250,490636,494625,498807,502409,506659,509227,512682,518830,522386,522864,522523,611583,610369,609167,608321,607167,606512,606607,607619,608571,611119,614726,618262,643739,644826,645804,645533,644891,644891,651022,655065,657641,658402,659000
서울,마포구,11440,512887,512185,511173,510423,509554,506613,506244,504101,502607,501964,501583,500655,499905,499774,498190,497167,497381,498083,497655,494214,493512,494583,494702,494583,495881,496512,497643,498048,498369,498655,498607,499083,500488,503274,505417,505857,505372,505570,506395,507721,508709,510488,521547,522791,525140,527895,529930,530884,531465,532105,532209,532337,533093,534709,536826,538744,537867,539678,541856,543033,544056,544611,545633,555756,558067,561656,564367,566822,567544,568533,569989,649804,657137,669735,679882,685598,690108,694255,699186,709520,721176,725461,725853,724912,839735,834480,832796,831367,830786,830745,832408,835071,838031,845745,852337,858827,986221,988750,990308,989048,985192,984317,998962,1004481,1007385,1010106,1011298
서울,양천구,11470,582373,582127,580794,573216,570520,565588,561176,550431,547118,544216,542431,537716,532578,530078,529020,532010,531657,529598,524882,521657,521706,523833,523971,521873,524647,525196,526020,524451,524794,523833,523098,523059,528157,534461,535422,535735,535971,537951,540451,544804,549931,554196,574010,575990,579529,581706,583559,586333,586667,586863,586569,585902,586225,588882,591333,595245,599725,605961,611667,611706,611853,611314,611235,611353,613225,622804,624245,629471,628431,629275,634333,683450,705708,718667,721208,718308,717350,715925,717292,726267,742283,744592,744692,743642,808806,804463,798612,792164,789597,788881,792022,793000,793649,799910,807642,827381,876286,876079,876279,875343,873414,875407,884850,889929,893000,893800,894514
서울,강서구,11500,397588,397343,395461,392147,385578,382098,378765,376333,375127,372853,369912,368029,364657,362137,360784,361598,361833,360667,358676,357216,357382,359363,360637,360127,357145,358491,359355,357155,355973,355627,354955,354100,355400,356355,356364,356591,357000,358118,359682,363236,365282,368364,399309,401691,404136,407336,411391,414891,416309,416782,416991,417373,418127,419227,420882,422600,437678,440644,444110,446254,447178,447771,449339,451322,453686,457975,460483,464153,464000,464458,466839,479766,481953,489414,496055,503773,506711,508195,510414,514484,525992,529813,529859,529313,583185,582395,581177,578968,577355,576395,576169,576645,577379,579476,583266,588250,615250,615932,616598,617386,617000,617136,623697,627288,629871,630788,631848
서울,구로구,11530,351344,350573,350500,350000,348365,346667,345240,343083,341771,340823,339365,337875,335354,334323,333740,333990,334281,334167,333208,332417,332792,334083,335115,333969,334102,334949,335133,335255,333408,331929,331010,330622,331776,333745,335071,335092,335592,336031,336643,339633,342673,345847,352745,353959,357316,359745,361704,363500,363929,363316,362898,363480,364102,365153,366663,368306,369694,371357,373245,374388,374980,375490,376520,378204,379735,381653,383306,385265,385837,386980,388745,421302,424241,427845,429871,433267,436086,439517,442216,444526,449397,451672,452216,451836,526882,526518,526355,525373,525009,525009,525191,525691,526582,528918,532273,535682,553669,555398,557297,559042,560483,562559,570017,573797,576415,577288,578212
서울,금천구,11545,282328,283190,282241,281897,280690,280086,278879,275862,274172,274362,274414,274190,273241,272241,271672,271810,271983,270190,268121,266707,267138,269293,270172,269879,271638,273431,274034,273534,273276,273000,272793,273103,273672,273948,274121,274017,274034,274534,275345,276672,278241,280069,291345,292414,294828,296172,298000,299552,299862,300172,300414,300931,301517,302138,302707,303569,304534,305914,307483,308069,308431,308948,309741,311379,312914,315241,316276,318741,318707,319052,319517,348229,348900,349257,349971,350671,351871,352957,354171,356529,361414,363686,364329,364400,404297,403906,403281,403016,402859,402859,403266,403594,404125,405625,407875,410234,514411,514666,515526,516397,516756,517782,521923,524231,525885,526526,527038
서울,영등포구,11560,541840,541255,537500,535787,534660,530277,524787,517926,512574,507904,501628,498128,492112,489803,489378,491580,492160,487340,482734,480606,481628,482064,481904,479436,472469,473958,477167,477896,478458,477490,477250,478198,479385,480313,482344,482542,483323,484083,484979,487406,490333,493823,502760,504281,506688,510240,513510,516521,517323,516979,516677,517156,518052,519229,521198,522344,524469,527219,530646,531844,532448,533042,534104,536750,540313,547521,551052,554240,554708,556396,558677,586341,589568,596145,599964,603891,606636,608955,614636,625436,639600,642873,643909,643364,777065,775287,772435,771306,769769,769528,770630,771861,773546,778546,784352,790361,811102,805448,806083,806032,805485,806553,815280,820331,823466,824356,825407
서울,동작구,11590,494561,493439,492037,486354,484256,482732,481378,472561,464451,458927,454927,451305,448610,446902,446866,451220,453585,455488,452805,451110,453000,456207,456634,455976,466674,468279,470593,471116,471384,471733,472163,473186,474581,476326,476942,477163,477547,478395,479791,482174,484279,487221,494116,496000,498523,500395,504477,508023,509035,509640,509640,510035,510884,511837,513267,515547,517535,520419,523628,524186,524395,525326,526640,528709,531058,534523,536721,541837,541907,542930,547616,635190,642030,648350,654800,660570,666840,670710,675720,684200,702310,705200,704200,702530,807327,804143,799714,794531,791704,791071,792908,793969,795327,799561,806469,819582,835058,836250,837442,837192,836577,837298,844644,847923,849327,849827,850404
서울,관악구,11620,393049,392874,387448,385136,382249,380037,380300,376175,375025,372936,369138,366925,364913,363175,362775,364463,366400,366200,365588,364925,365325,369788,371350,371475,372100,373013,374000,373338,372713,372375,372088,372363,372963,373700,373913,373888,374613,374838,375388,376950,379100,380888,384063,385625,387825,390763,393450,394675,395125,395650,395925,396775,397650,399275,400825,402400,403675,406000,408800,409688,410388,410988,411763,414000,416425,420100,422000,424063,424563,425363,426563,421870,423337,425228,426630,427467,429576,432283,435630,438293,443739,445891,446076,445815,496558,495651,494651,493430,492686,492360,492174,492419,492965,494407,497023,500186,510957,511435,512663,514283,515196,516554,523196,526967,530511,531663,533272
서울,서초구,11650,972183,961583,962170,953635,949120,941129,932102,927546,925111,922866,921460,915301,907574,904694,905830,905132,906132,904462,892396,885274,883085,883632,883009,882104,877917,880620,883250,887130,886546,886519,887352,888704,893324,896741,897769,897898,898250,901769,909315,918815,931222,939231,1002713,1009361,1018472,1025407,1029954,1034769,1036954,1036435,1035491,1036676,1039861,1047250,1052657,1056917,1046421,1057921,1062825,1061228,1059526,1063561,1106684,1110421,1114579,1128728,1134754,1137430,1135360,1135912,1140860,1275688,1306195,1346953,1352734,1352148,1348648,1346188,1346086,1357820,1394578,1402102,1398398,1394773,1555515,1544321,1536679,1527799,1524067,1523590,1527097,1531560,1536963,1546149,1559873,1594724,1775269,1776966,1770507,1750110,1731616,1732849,1751014,1757795,1759164,1759747,1761322
서울,강남구,11680,1050728,1047151,1038625,1024038,1018219,1007127,1001459,985563,969881,957340,952200,928154,912800,906992,907515,913346,919815,914223,907338,901154,904262,906008,905923,904523,906300,911631,918146,916385,915708,915323,916669,920377,926831,929585,929446,928315,931631,938738,949238,957177,963723,973223,1047077,1055331,1062215,1066931,1061154,1064085,1060831,1058246,1057638,1060277,1066423,1077423,1085531,1093600,1098788,1114773,1117462,1114144,1110273,1109992,1114061,1116614,1122667,1139932,1143568,1152538,1150038,1153644,1163045,1366704,1418398,1454511,1466210,1466237,1463059,1455855,1449339,1460570,1495366,1501737,1502559,1493269,1617961,1600129,1586730,1582011,1580775,1581596,1584787,1589466,1593747,1611242,1630096,1678062,1758527,1755204,1749409,1732086,1714102,1714914,1731527,1738333,1741538,1742161,1742968
서울,송파구,11710,773923,764754,755426,751914,748311,734421,720736,713228,709017,703347,701119,696151,695595,695325,697587,720216,723207,719293,714276,713000,717603,727457,728086,730009,722548,724429,727929,728643,727667,727381,727810,728540,731571,735190,734659,734103,735460,737246,740667,745929,749357,753151,780437,783905,786341,791175,793817,797198,796921,796762,796706,797167,798460,801286,802984,804294,806766,812469,817086,816219,815391,816141,818367,820930,824211,837969,840719,848953,850578,861969,869672,984764,1032208,1056965,1068264,1067938,1063993,1056972,1052486,1062549,1077813,1083326,1070514,1063479,1113576,1107382,1100618,1098257,1098146,1099660,1102847,1104521,1106472,1118417,1130090,1166361,1256877,1251701,1245727,1235416,1234545,1240305,1260838,1265377,1266416,1266792,1267214
서울,강동구,11740,503029,502039,496961,495588,493775,488451,481824,469510,458431,455225,454412,453265,450912,450186,450843,451088,453422,452098,449373,447529,447892,450873,450725,450039,450088,450745,452118,452029,450853,450814,451392,454412,459618,464461,465275,462382,463137,466235,471363,479637,485431,490667,492441,496098,499186,503137,506451,505853,503922,488490,487667,489755,491882,473118,475118,478814,483549,491647,494422,493765,492637,494402,494775,495314,499784,511471,512069,515510,514353,516529,518314,561013,572700,594793,602720,604327,603973,605960,607187,611693,635327,640220,640713,639167,735167,728643,721690,713683,706183,703675,702968,703944,705429,711976,719000,740921,787716,787881,788179,787343,785164,784776,796149,798575,800418,800806,801209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 503 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
